commodity_year,state_code,county_code,state_name,state_abbreviation,county_name,shannon_diversity,num_unique_crops,top_crop_share,evenness,total_liability,avg_coverage_level,dominant_insurance_plan,num_loss_causes,weather_loss_share,loss_ratio
1999,01,001,Alabama,AL,Autauga,0.6396732919575197,6.0,0.8377980007736314,0.3570084617625102,3162927.0,0.5810240799107915,APH,3.0,0.9947121631546241,0.3580971923182521
1999,01,003,Alabama,AL,Baldwin,1.6231335121467336,9.0,0.3620996655938002,0.7387198964042725,9136476.0,0.6209152029732251,APH,5.0,0.33259463622902596,0.3093073788672921
1999,01,005,Alabama,AL,Barbour,1.009027419332093,6.0,0.5935196965496979,0.5631489252108225,7868687.0,0.6783642747513022,PNT,6.0,0.9850991785880852,0.6415845574652455
1999,01,009,Alabama,AL,Blount,-0.0,1.0,1.0,0.0,519367.0,0.5730348674444083,APH,2.0,1.0,0.2455600474667632
1999,01,011,Alabama,AL,Bullock,0.9004428864406007,3.0,0.590962674856023,0.8196184365753294,14419241.0,0.5148155405683281,DOL,2.0,1.0,0.9054234824466236
1999,01,013,Alabama,AL,Butler,-0.0,1.0,1.0,0.0,1431436.0,0.7074322568385872,TGP,3.0,1.0,0.6610788048927211
1999,01,015,Alabama,AL,Calhoun,-0.0,1.0,1.0,0.0,732995.0,0.6199533421101099,APH,4.0,1.0,0.5249169435215947
1999,01,019,Alabama,AL,Cherokee,0.6642725708917055,5.0,0.8017499527341995,0.4127357543647429,9610771.0,0.5817242862201171,APH,2.0,1.0,2.6171955050851476
1999,01,021,Alabama,AL,Chilton,0.7390095914725705,3.0,0.5612571791393691,0.6726755190118076,1918530.0,0.61592609967006,APH,3.0,1.0,2.126297133341263
1999,01,023,Alabama,AL,Choctaw,-0.0,1.0,1.0,0.0,60590.0,0.5,APH,1.0,1.0,0.4049462902822883
1999,01,025,Alabama,AL,Clarke,-0.0,1.0,1.0,0.0,331397.0,0.6279801869057354,APH,3.0,1.0,5.367314034444852
1999,01,029,Alabama,AL,Cleburne,-0.0,1.0,1.0,0.0,61856.0,0.6353361032074495,APH,0.0,,0.0
1999,01,031,Alabama,AL,Coffee,1.169250806806868,7.0,0.4813777586289435,0.6008760514325432,16377795.0,0.6859533227763567,PNT,6.0,0.7754766749433891,1.5813609032447784
1999,01,033,Alabama,AL,Colbert,0.715084737336633,3.0,0.7572593025015676,0.650898178285952,6407581.0,0.6066410553374199,APH,3.0,1.0,1.0883167039224309
1999,01,035,Alabama,AL,Conecuh,1.0765365291135816,5.0,0.5720683422362695,0.6688897538678189,1876985.0,0.6786270002157715,APH,4.0,0.984834269693926,0.414487078016845
1999,01,039,Alabama,AL,Covington,0.9968686724974178,6.0,0.5345568062681583,0.556362999396844,9175686.0,0.6598704445640359,PNT,6.0,0.9958225349818682,0.833295743725363
1999,01,041,Alabama,AL,Crenshaw,1.0686798005699027,4.0,0.4418147435497943,0.7708895242902026,2983038.0,0.6604160925874897,PNT,4.0,0.998785297636425,1.127218877639908
1999,01,043,Alabama,AL,Cullman,-0.0,1.0,1.0,0.0,2155457.0,0.5116292043868191,DOL,2.0,1.0,0.4353742488769617
1999,01,045,Alabama,AL,Dale,1.0626761471734727,5.0,0.5568767343367399,0.6602778143620901,8777103.0,0.6868282336438345,PNT,4.0,0.9993560104192016,0.9226412976137512
1999,01,047,Alabama,AL,Dallas,1.1202580767920325,6.0,0.5690407188044736,0.6252279371374964,15631323.0,0.5134508576145475,DOL,3.0,1.0,0.3561577602819173
1999,01,049,Alabama,AL,De Kalb,1.0371756922525694,5.0,0.5132078112036997,0.6444334908725704,2058417.0,0.6310041162699298,CRC,2.0,1.0,1.491255068640383
1999,01,051,Alabama,AL,Elmore,0.5465996875175825,4.0,0.8618701932518005,0.3942883292665367,3180162.0,0.6231244194478143,APH,1.0,1.0,0.3396230942504327
1999,01,053,Alabama,AL,Escambia,0.9239135467700486,6.0,0.751854707900125,0.5156459684670169,35259763.0,0.5284529096239247,DOL,4.0,0.9971800232166937,0.4880296830276688
1999,01,055,Alabama,AL,Etowah,0.6202225884177318,3.0,0.8088524891471781,0.5645509292178514,876311.0,0.6296022759043308,APH,2.0,1.0,2.4875538840719176
1999,01,057,Alabama,AL,Fayette,0.8335126475299051,3.0,0.6193206925980522,0.7586959076713085,571465.0,0.6880510617448137,APH,2.0,1.0,2.0260174311248984
1999,01,059,Alabama,AL,Franklin,-0.0,1.0,1.0,0.0,11537207.0,0.5064906697088819,DOL,3.0,1.0,1.204385019049673
